P1,P2,P3,CA1,CA2,CA3,PY,PayPro,CA_Fee,AnnualFee,EOD_Balance,,
70,30,1,60,22,25,0.1,0.08,15,0,115.95,,
70,51.11,5.99,80,70,50,200,0.09,15,599,38.26,,(AFRebate=139)
70,100,200,50,21,40,5,0.07,15,0,381.12,,
80,44,32.99,50,22,50,20,0.08,15,120,160.29,,(AFRebate)
100,17.77,20,60,22,40,100,0.08,15,139,97.17,,(AFRebate)
80.5,90,22.22,22,25,40,100,0.09,15,99,137.24,,(AFRebate)
70,2.22,1.9,50,50,25,1,0.08,15,99,88.7,,(AFRebate)
70,3.57,6.92,85,150,100,12,0.08,0,499,92.83,,(AFRebate=120)
70,2,3,50,150,25,100,0.08,10,139,61.43,,(AFRebate)
100,1.5,2.5,60,25,22,65,0.08,15,139,84.77,,(AFRebate)
100,1.5,2.5,40,20,20,65,0.07,10,139,75.8,,(AFRebate)
80,20,100,25,40,30,95,0.08,15,99,149.11,,(AFRebate)
70,20,100,80,150,25,95,0.08,10,0,162.66,,
70,20,100,90,150,30,95,0.09,5,99,164,,(AFRebate)
70,20,100,80,25,30,200,0.07,15,29,84.41,,
70,100,100,80.05,60,30,200,0.09,15,120,159.74,,
70,100,200,300,80.05,26,200,0.08,10,20,287.66,,
80,100,200,100,30,25,200,0,10,0,251.36,,
100,100,200,40,30,300,200,0.09,10,0,309.27,,
200,100,200,25,30,30,200,0,10.5,35,121.94,,
200,51.11,5.99,80,50,400,200,0.07,10,180,179.34,,
70,2,3,50,150,25,100,0.09,10,120,0,,
70,30,1,60,25,35,0.1,0.08,15,0,257.34,,
200,100,200,50,25,40,5,0.09,15,120,342.37,,
100,17.77,20,60,30,40,100,0.09,15,120,42.21,,